row_id,energy
94993,1821.8291
94994,1662.2579
94995,1598.6407
94996,1553.775
94997,1535.8691
94998,1530.741
94999,1585.9418
95000,1793.6652
95001,1877.5897
95002,1968.9825
95003,1984.7979
95004,2054.3538
95005,2128.7676
95006,2249.8447
95007,2281.087
95008,2332.5005
95009,2346.6313
95010,2346.6313
95011,2325.1357
95012,2301.0615
95013,2244.2317
95014,2244.2317
95015,2148.8433
95016,2025.1531
95017,1968.5663
95018,1817.1727
95019,1711.7928
95020,1666.927
95021,1640.584
95022,1635.4558
95023,1703.8646
95024,1882.6235
95025,1960.0039
95026,2051.3967
95027,2067.2122
95028,2158.2112
95029,2223.3486
95030,2344.406
95031,2388.1377
95032,2401.3984
95033,2401.3984
95034,2401.3984
95035,2389.8772
95036,2373.8389
95037,2317.009
95038,2317.009
95039,2209.502
95040,2103.0518
95041,1945.2654
95042,1788.608
95043,1711.7928
95044,1666.927
95045,1640.584
95046,1635.4558
95047,1703.8646
95048,1882.6235
95049,1960.0039
95050,2051.3967
95051,2067.2122
95052,2158.2112
95053,2223.3486
95054,2344.406
95055,2388.1377
95056,2401.3984
95057,2401.3984
95058,2401.3984
95059,2389.8772
95060,2373.8389
95061,2317.009
95062,2317.009
95063,2209.502
95064,2103.0518
95065,1964.8135
95066,1808.1561
95067,1707.1013
95068,1662.2355
95069,1635.8925
95070,1630.7643
95071,1699.1731
95072,1877.932
95073,1955.3124
95074,2046.7051
95075,2062.5205
95076,2153.5195
95077,2218.657
95078,2339.7144
95079,2383.446
95080,2396.7068
95081,2396.7068
95082,2396.7068
95083,2385.1855
95084,2369.1472
95085,2312.3174
95086,2312.3174
95087,2204.8103
95088,2098.36
95089,1953.097
95090,1780.2072
95091,1679.1523
95092,1634.2865
95093,1610.406
95094,1611.0669
95095,1669.2694
95096,1811.1273
95097,1888.5077
95098,1979.9004
95099,1995.7155
95100,2086.7144
95101,2151.852
95102,2272.9094
95103,2315.4106
95104,2328.6714
95105,2328.6714
95106,2328.6714
95107,2309.8533
95108,2266.603
95109,2209.7732
95110,2209.7732
95111,2100.151
95112,2009.0646
95113,1910.331
95114,1728.8569
95115,1627.8021
95116,1582.9363
95117,1559.0558
95118,1555.2079
95119,1539.7847
95120,1643.0162
95121,1662.312
95122,1776.5894
95123,1818.3691
95124,1909.3683
95125,1978.9147
95126,2099.9722
95127,2127.3787
95128,2140.6394
95129,2140.6394
95130,2140.6394
95131,2121.821
95132,2133.4473
95133,2076.617
95134,2076.617
95135,2006.2461
95136,1897.4746
