row_id,energy
94993,1836.0939
94994,1679.7485
94995,1566.5062
94996,1534.082
94997,1534.082
94998,1541.5078
94999,1641.7067
95000,1802.756
95001,1858.6738
95002,1924.3783
95003,2005.4379
95004,2123.4353
95005,2160.0405
95006,2324.4497
95007,2410.0442
95008,2370.253
95009,2389.4934
95010,2389.4934
95011,2365.1018
95012,2365.1018
95013,2338.6978
95014,2338.6978
95015,2239.8662
95016,2106.5786
95017,1957.8466
95018,1810.8385
95019,1704.2832
95020,1653.4626
95021,1653.4626
95022,1660.8884
95023,1716.0603
95024,1809.4232
95025,1885.1115
95026,1950.8159
95027,1959.4451
95028,2095.0762
95029,2135.239
95030,2317.2393
95031,2366.0405
95032,2326.2493
95033,2345.4897
95034,2345.4897
95035,2357.8914
95036,2357.8914
95037,2331.4873
95038,2331.4873
95039,2231.7727
95040,2095.8103
95041,1983.1643
95042,1828.1256
95043,1721.5703
95044,1670.7498
95045,1670.7498
95046,1678.1755
95047,1733.3474
95048,1826.7103
95049,1902.3986
95050,1968.103
95051,1976.7322
95052,2100.971
95053,2163.686
95054,2334.5264
95055,2383.3276
95056,2343.5364
95057,2362.7769
95058,2362.7769
95059,2375.1785
95060,2375.1785
95061,2348.7744
95062,2348.7744
95063,2249.0598
95064,2113.0974
95065,1983.1643
95066,1834.1346
95067,1727.5793
95068,1676.7588
95069,1676.7588
95070,1684.1846
95071,1753.3425
95072,1846.7054
95073,1902.3986
95074,1968.103
95075,1976.7322
95076,2100.971
95077,2163.686
95078,2334.5264
95079,2383.3276
95080,2343.5364
95081,2362.7769
95082,2362.7769
95083,2375.1785
95084,2375.1785
95085,2348.7744
95086,2348.7744
95087,2249.0598
95088,2113.0974
95089,1976.7578
95090,1807.6998
95091,1715.9238
95092,1665.1033
95093,1665.1033
95094,1669.9132
95095,1715.4729
95096,1808.8358
95097,1882.9728
95098,1951.883
95099,1960.5122
95100,2066.307
95101,2125.4644
95102,2293.099
95103,2341.9004
95104,2302.1091
95105,2333.3062
95106,2333.3062
95107,2329.693
95108,2329.693
95109,2303.289
95110,2303.289
95111,2182.0642
95112,2011.2059
95113,1910.6112
95114,1727.8964
95115,1597.8815
95116,1558.0637
95117,1558.0637
95118,1562.8737
95119,1558.292
95120,1651.7505
95121,1667.8029
95122,1741.0614
95123,1790.8811
95124,1879.0417
95125,1968.9546
95126,2115.5007
95127,2189.8855
95128,2157.4534
95129,2176.6938
95130,2181.3738
95131,2144.818
95132,2144.818
95133,2118.414
95134,2118.414
95135,2002.2074
95136,1886.2294
95137,1864.2156
95138,1731.3344
95139,1631.0001
95140,1559.317
95141,1559.317
95142,1562.4814
95143,1542.0651
95144,1517.2963
95145,1455.5211
95146,1546.5332
95147,1794.0419
95148,1882.2025
95149,1941.3602
95150,2091.1125
95151,2144.0867
95152,2130.8345
95153,2150.075
95154,2172.6013
95155,2191.4475
95156,2216.6223
95157,2194.9731
95158,2194.9731
95159,2090.1528
95160,1976.0906
95161,1913.0938
95162,1756.7484
95163,1643.5061
95164,1611.0819
95165,1611.0819
95166,1618.5077
95167,1706.0814
95168,1867.1307
95169,1921.4973
95170,2001.7019
95171,2066.2434
